MAT_ALU;DAT_ENTRADA;COD_CURSO;COTISTA;NOME
160;15/01/2019;4;S;Alícia Barros
161;05/01/2019;6;S;Luiza Barbosa
162;12/01/2019;2;N;Elisa Souza
163;30/01/2019;3;S;Thales Cardoso
164;21/01/2019;6;N;Bernardo Novaes
165;13/01/2019;3;N;Nicolas Rocha
166;25/01/2019;5;N;Ana Beatriz Peixoto
167;04/01/2019;5;S;Beatriz da Cunha
168;01/01/2019;1;N;Anthony da Rocha
169;28/01/2019;4;N;João Gabriel Ribeiro
170;25/01/2019;4;S;Thiago Gonçalves
171;23/01/2019;2;S;Alexia Novaes
172;02/01/2019;2;S;Enrico Nogueira
173;07/01/2019;4;N;Lara Pires
174;19/01/2019;6;N;Camila Ramos
175;30/01/2019;3;S;Isabel Costela
176;14/01/2019;3;S;Ryan Aragão
177;15/01/2019;6;S;Antônio Jesus
178;24/01/2019;6;N;Heitor da Conceição
179;11/01/2019;1;S;Julia Farias
180;02/01/2019;4;N;Rodrigo Souza
181;22/01/2019;4;N;Lívia Lopes
182;20/01/2019;6;N;Paulo Moura
183;12/01/2019;4;S;Maria Julia Carvalho
184;22/01/2019;6;N;Ana Beatriz Silva
185;08/01/2019;4;N;Heitor da Rocha
186;25/01/2019;6;N;Luiz Miguel Silveira
187;27/01/2019;5;N;Julia Fernandes
188;07/01/2019;1;S;Igor Correia
189;09/01/2019;6;N;Davi Carvalho
190;20/01/2019;2;S;Pietra Cunha
191;15/01/2019;2;N;Isabella Barros
192;22/01/2019;2;N;Enzo Novaes
193;17/01/2019;1;S;Dr. Vicente Nascimento
194;25/01/2019;6;N;Clarice Monteiro
195;05/01/2019;1;N;Mariane Sales
196;27/01/2019;2;N;Raquel Souza
197;25/01/2019;6;N;Daniela Peixoto
198;22/01/2019;2;N;Enzo da Cruz
199;28/01/2019;1;N;Isaac Rezende
200;31/01/2019;4;S;Benício Rodrigues
201;23/01/2019;6;S;Miguel Araújo
202;16/01/2019;3;S;Luana das Neves
203;02/01/2019;6;S;Bárbara Duarte
204;09/01/2019;2;S;Lucca da Cunha
205;01/01/2019;5;S;Ana Carolina Costa
206;27/01/2019;3;S;Laura Rocha
207;25/01/2019;6;S;Caio Azevedo
208;21/01/2019;5;N;Bruno Moura
209;14/01/2019;3;S;Emilly da Paz
210;25/01/2019;6;N;Gustavo Oliveira
211;22/01/2019;3;S;Esther Cardoso
212;04/01/2019;5;N;Pedro Henrique Moreira
213;02/01/2019;2;S;Elisa da Rocha
214;11/01/2019;5;N;Maria Alice Pereira
215;31/01/2019;5;N;Vitória Cardoso
216;18/01/2019;3;S;Juliana Novaes
217;09/01/2019;4;N;Pedro Novaes
218;19/01/2019;2;S;Davi Luiz Dias
219;20/01/2019;6;N;Yago Gonçalves
220;02/01/2019;1;S;Sarah Carvalho
221;31/01/2019;5;N;Ana Sophia Duarte
222;20/01/2019;5;N;Calebe Ribeiro
223;17/01/2019;6;S;Valentina da Rocha
224;29/01/2019;2;N;Henrique da Paz
225;24/01/2019;4;S;Carolina Farias
226;14/01/2019;4;N;Ian Silveira
227;22/01/2019;4;S;Raul Lopes
228;24/01/2019;6;S;Maria Luiza Correia
229;01/01/2019;5;S;Enzo Silveira
230;05/01/2019;3;S;Isis Aragão
231;05/01/2019;3;S;João Miguel Azevedo
232;06/01/2019;5;N;Dr. Bryan Rodrigues
233;29/01/2019;6;S;Joaquim Lima
234;07/01/2019;6;S;Nathan da Rocha
235;02/01/2019;6;S;Igor Mendes
236;15/01/2019;2;S;Dr. Pedro Miguel Jesus
237;09/01/2019;1;S;Laís Rodrigues
238;28/01/2019;1;S;Melissa Vieira
239;07/01/2019;3;N;Erick Jesus
240;08/01/2019;2;S;Miguel Oliveira
241;12/01/2019;2;N;Sabrina Lima
242;28/01/2019;4;N;Thomas Silva
243;25/01/2019;1;N;Thales Duarte
244;01/01/2019;4;S;Samuel Vieira
245;30/01/2019;4;N;Luiz Fernando Rodrigues
246;29/01/2019;5;N;Mirella Freitas
247;03/01/2019;6;N;Heitor Pires
248;21/01/2019;4;S;Ryan Farias
249;22/01/2019;6;N;Daniela da Mota
250;15/01/2019;3;N;Alexia da Paz
251;15/01/2019;3;N;Henrique Barros
252;21/01/2019;2;S;Danilo Moreira
253;08/01/2019;4;N;Levi Porto
254;29/01/2019;5;S;Stephany Viana
255;20/01/2019;4;S;Dra. Júlia da Paz
256;30/01/2019;2;N;Kamilly da Paz
257;18/01/2019;4;S;João Vitor Lopes
258;19/01/2019;2;S;Ana Julia Pinto
259;28/01/2019;2;S;Henrique Lopes
260;02/01/2019;2;N;Nicolas Gonçalves
261;31/01/2019;6;S;Dra. Camila Caldeira
262;14/01/2019;1;S;Sarah Alves
263;21/01/2019;3;N;Júlia Carvalho
264;01/01/2019;1;S;Ana Vitória Lima
265;25/01/2019;3;N;Luiz Henrique Barbosa
266;08/01/2019;6;S;Lucca Castro
267;17/01/2019;1;S;Luigi Ribeiro
268;01/01/2019;5;N;Isabella Melo
269;22/01/2019;3;S;Pietro Nogueira
270;24/01/2019;2;S;Luiz Miguel da Costa
271;28/01/2019;6;S;Ana Beatriz Silva
272;01/01/2019;2;N;Camila da Conceição
273;03/01/2019;1;S;Paulo Novaes
274;03/01/2019;3;N;Alexandre da Paz
275;10/01/2019;4;N;Isaac da Luz
276;25/01/2019;5;N;Benício Souza
277;19/01/2019;2;S;Yuri Nogueira
278;18/01/2019;2;N;Ana Beatriz Mendes
279;01/01/2019;4;S;Maria Sophia Pinto
280;30/01/2019;6;N;Calebe Costa
281;22/01/2019;3;N;Stella Ribeiro
282;22/01/2019;3;S;Carolina Rocha
283;29/01/2019;5;N;Luiz Felipe Freitas
284;09/01/2019;5;N;Luiza das Neves
285;11/01/2019;4;N;Emanuel Jesus
286;18/01/2019;1;S;Lívia Barbosa
287;05/01/2019;4;S;Pedro Henrique Dias
288;01/01/2019;5;S;Lavínia Rezende
289;09/01/2019;4;N;Nathan da Conceição
290;27/01/2019;6;N;Sarah Lopes
291;14/01/2019;1;N;Laura Araújo
292;02/01/2019;2;S;Dr. Gustavo Henrique Souza
293;27/01/2019;5;S;Sofia Santos
294;21/01/2019;6;N;Esther Fogaça
295;11/01/2019;4;N;Davi Lucas Ribeiro
296;13/01/2019;6;S;Sophia Castro
297;11/01/2019;4;N;Davi Lucca da Costa
298;28/01/2019;3;S;Laura da Costa
299;19/01/2019;6;N;Sabrina Gonçalves
300;26/01/2019;6;S;Davi Luiz Melo
301;21/01/2019;3;N;Marcelo Cardoso
302;01/01/2019;6;N;Bianca Ramos
303;13/01/2019;1;S;Sophia Nunes
304;02/01/2019;4;S;Nina Peixoto
305;24/01/2019;1;N;Dr. Kevin Rodrigues
306;14/01/2019;1;S;Murilo Rezende
307;08/01/2019;1;S;Sophie Azevedo
308;09/01/2019;2;N;Caroline Porto
309;19/01/2019;2;S;Dr. Pietro Oliveira
310;06/01/2019;4;S;Luana Fernandes
311;28/01/2019;6;N;Maitê Moraes
312;27/01/2019;4;S;João Oliveira
313;15/01/2019;5;N;Isabella da Paz
314;19/01/2019;5;S;Carlos Eduardo Moraes
315;27/01/2019;4;S;Maria Fernanda Moreira
316;27/01/2019;1;S;Mariana Duarte
317;03/01/2019;6;N;Carolina Farias
318;09/01/2019;2;S;Clarice Jesus
319;28/01/2019;2;N;Raquel Viana
320;27/01/2019;5;N;Dr. Cauê Alves
321;02/01/2019;2;S;Nina Viana
322;03/01/2019;5;N;Alexia Moraes
323;21/01/2019;6;N;Alexandre Campos
324;11/01/2019;6;N;Vitor Hugo Pires
325;14/01/2019;5;N;Helena Fogaça
326;08/01/2019;4;N;Guilherme Pereira
327;04/01/2019;6;N;Ian da Cunha
328;07/01/2019;2;S;Isis Freitas
329;19/01/2019;1;N;Caio Nunes
330;11/01/2019;1;N;Kamilly Fogaça
331;21/01/2019;6;S;Ana Julia Campos
332;26/01/2019;5;N;Manuela Mendes
333;16/01/2019;4;S;Pietro Cardoso
334;02/01/2019;6;N;Bárbara Jesus
335;04/01/2019;3;N;Gabrielly Cavalcanti
336;24/01/2019;2;S;Breno Souza
337;20/01/2019;2;S;Alícia Gonçalves
338;22/01/2019;4;N;Caroline Aragão
339;31/01/2019;3;S;Laís Pires
340;17/01/2019;2;N;Valentina Freitas
341;17/01/2019;5;S;João Pedro Oliveira
342;13/01/2019;6;S;Maria Eduarda Porto
343;24/01/2019;3;S;Rafaela Ramos
344;14/01/2019;6;S;Dr. Antônio Ferreira
345;07/01/2019;4;S;Giovanna Costa
346;26/01/2019;3;S;Isis Aragão
347;16/01/2019;1;N;Lucas das Neves
348;28/01/2019;4;S;Alice da Cruz
349;10/01/2019;6;S;Rebeca Ramos
350;17/01/2019;4;S;Isabel da Luz
351;01/01/2019;5;N;Kevin Dias
352;04/01/2019;2;N;Letícia das Neves
353;18/01/2019;4;N;Rodrigo Araújo
354;27/01/2019;2;N;Carlos Eduardo Gomes
355;20/01/2019;5;N;Maria Sophia Carvalho
356;30/01/2019;5;S;Lavínia Gomes
357;04/01/2019;1;N;Fernanda Costela
358;11/01/2019;2;N;Heloísa Lopes
359;15/01/2019;6;S;Agatha da Rocha
360;25/01/2019;1;S;Arthur Rezende
361;10/01/2019;2;S;Natália Cunha
362;12/01/2019;3;S;Ana Melo
363;07/01/2019;3;N;Davi Luiz Azevedo
364;22/01/2019;4;N;Dr. Lorenzo Gomes
365;06/01/2019;3;S;Isaac Carvalho
366;19/01/2019;5;S;Ana Luiza Nunes
367;09/01/2019;3;N;Vitor Hugo Rodrigues
368;03/01/2019;6;S;Paulo da Rosa
369;03/01/2019;6;S;Theo Costela
370;04/01/2019;5;S;Sophia Castro
371;17/01/2019;2;N;Erick Dias
372;11/01/2019;5;S;Antônio Vieira
373;07/01/2019;1;N;Davi da Conceição
374;13/01/2019;1;S;Noah Correia
375;20/01/2019;3;N;Pedro Lucas Moura
376;11/01/2019;5;N;Stella Nogueira
377;25/01/2019;4;S;Lorena Peixoto
378;16/01/2019;3;S;Emanuella Alves
379;09/01/2019;2;N;Isis Oliveira
380;20/01/2019;6;N;Luiz Miguel da Conceição
381;16/01/2019;6;S;Gustavo Pinto
382;25/01/2019;2;S;Enzo Novaes
383;31/01/2019;3;N;Fernando das Neves
384;06/01/2019;3;S;Daniel Cardoso
385;14/01/2019;6;S;Luiz Gustavo Campos
386;24/01/2019;4;S;Isabel Aragão
387;28/01/2019;5;N;Rafaela Dias
388;12/01/2019;4;N;Arthur Santos
389;07/01/2019;1;N;Caio Ribeiro
390;10/01/2019;4;N;Luiza Cavalcanti
391;05/01/2019;5;N;João Lucas Viana
392;26/01/2019;5;S;Beatriz Rodrigues
393;19/01/2019;6;N;Davi Luiz Rodrigues
394;22/01/2019;4;N;Pedro Vieira
395;09/01/2019;2;N;Vitor da Mata
396;29/01/2019;4;S;Yago Melo
397;08/01/2019;4;N;Dr. João Guilherme Alves
398;20/01/2019;3;N;Isabel Castro
399;27/01/2019;3;N;Juliana Vieira
400;11/01/2019;4;S;Benício Porto
401;07/01/2019;4;S;Benício Lopes
402;31/01/2019;2;N;Olivia Cardoso
403;14/01/2019;3;N;Benjamin Farias
404;30/01/2019;3;N;Ryan da Conceição
405;26/01/2019;1;S;João Pedro Fogaça
406;07/01/2019;1;N;Raquel Vieira
407;25/01/2019;2;N;Igor Cunha
408;28/01/2019;1;S;Emilly Barros
409;06/01/2019;3;N;Clarice da Rosa
410;13/01/2019;6;S;Julia Costela
411;30/01/2019;2;N;Cauã Fogaça
412;13/01/2019;2;S;Maria Eduarda Rezende
413;15/01/2019;2;S;Diego Moraes
414;17/01/2019;1;S;Rodrigo das Neves
415;09/01/2019;6;S;Olivia Pereira
416;27/01/2019;2;N;Bianca Vieira
417;15/01/2019;6;N;Luiz Otávio Ferreira
418;05/01/2019;5;S;Dr. Eduardo Correia
419;25/01/2019;4;N;Emanuelly Ribeiro
420;16/01/2019;6;S;Vicente Farias
421;01/01/2019;1;N;Dr. Gustavo da Cruz
422;19/01/2019;3;S;Fernanda Cunha
423;08/01/2019;5;N;Valentina Pinto
424;25/01/2019;6;S;João Aragão
425;17/01/2019;4;S;Laís Cavalcanti
426;15/01/2019;3;S;Heitor Castro
427;17/01/2019;6;N;Beatriz da Rocha
428;22/01/2019;3;N;Murilo Carvalho
429;23/01/2019;2;N;Rodrigo Cavalcanti
430;28/01/2019;3;S;Melissa Rezende
431;12/01/2019;6;N;Dr. Bernardo Nunes
432;06/01/2019;5;S;Dra. Amanda Duarte
433;11/01/2019;4;N;Alana Freitas
434;25/01/2019;4;S;Larissa Rodrigues
435;27/01/2019;3;S;Felipe Jesus
436;25/01/2019;4;S;Maria Costa
437;25/01/2019;6;N;Nicolas da Costa
438;02/01/2019;5;S;Ana Beatriz Pereira
439;27/01/2019;6;N;Gustavo Duarte
440;26/01/2019;3;N;Pietra Rocha
441;04/01/2019;6;S;Alexia Souza
442;11/01/2019;1;N;João Lucas Ribeiro
443;01/01/2019;2;S;Sofia Rezende
444;01/01/2019;6;N;Diogo da Costa
445;10/01/2019;1;N;Helena Dias
446;22/01/2019;3;N;Davi Lucas Cardoso
447;20/01/2019;5;N;Paulo Monteiro
448;18/01/2019;1;S;Letícia Moraes
449;21/01/2019;3;N;Bryan Cavalcanti
450;23/01/2019;5;N;Marcelo Souza
451;13/01/2019;4;S;Dra. Maria Fernanda Alves
452;02/01/2019;4;S;Thomas Barbosa
453;23/01/2019;3;S;Enrico Nascimento
454;11/01/2019;4;S;Gabriela Cardoso
455;16/01/2019;5;N;Thiago Gonçalves
456;04/01/2019;5;S;Nina Cardoso
457;09/01/2019;5;N;Isabelly das Neves
458;09/01/2019;4;S;Maria Fernanda Pires
459;14/01/2019;2;N;Kevin Pires
460;26/01/2019;4;N;Sofia Carvalho
461;03/01/2019;6;N;Maria Julia Cunha
462;31/01/2019;3;N;Milena Barros
463;31/01/2019;4;S;Yuri Lima
464;25/01/2019;4;N;Thales Costela
465;28/01/2019;3;N;Pedro Souza
466;11/01/2019;6;N;Davi Luiz Viana
467;23/01/2019;4;S;Noah da Mota
468;30/01/2019;6;N;Rafael Costa
469;13/01/2019;1;S;Elisa Moura
470;20/01/2019;5;N;Maria Julia da Cruz
471;01/01/2019;1;N;Marcelo Cardoso
472;16/01/2019;2;N;Brenda Carvalho
473;25/01/2019;4;N;Ana Júlia Moraes
474;08/01/2019;6;N;Dra. Ana Clara Caldeira
475;11/01/2019;6;N;Dra. Lívia Cardoso
476;11/01/2019;6;N;Maria Alice Caldeira
477;06/01/2019;3;N;Maitê Azevedo
478;10/01/2019;4;S;Lara Mendes
479;10/01/2019;6;N;Manuela Cardoso
480;09/01/2019;5;S;Dr. Yuri Porto
481;23/01/2019;1;N;Bárbara Moreira
482;29/01/2019;3;N;Leonardo Vieira
483;30/01/2019;6;S;João Guilherme Novaes
484;01/01/2019;6;S;Ana Júlia Cardoso
485;19/01/2019;5;N;Fernanda da Conceição
486;23/01/2019;1;S;Dr. Eduardo Lopes
487;24/01/2019;4;S;Maitê Viana
488;28/01/2019;6;S;João Vitor Moreira
489;22/01/2019;1;N;João Guilherme Azevedo
490;19/01/2019;4;S;Rafaela Rocha
491;14/01/2019;4;S;Luana Santos
492;18/01/2019;4;N;Bárbara Araújo
493;09/01/2019;4;S;Evelyn Santos
494;18/01/2019;2;S;Francisco Campos
495;29/01/2019;1;S;Catarina Nunes
496;24/01/2019;2;N;Enzo Gabriel da Conceição
497;12/01/2019;4;S;Bárbara Vieira
498;01/01/2019;4;N;Larissa Fogaça
499;16/01/2019;3;S;Francisco Viana
500;11/01/2019;4;N;Eduarda Nogueira
501;03/01/2019;4;N;Samuel Rodrigues
502;15/01/2019;4;S;Ana Sophia Gomes
503;03/01/2019;4;S;Ana Júlia Carvalho
504;20/01/2019;2;N;Maria Cecília Gonçalves
505;13/01/2019;3;S;Rafaela das Neves
506;12/01/2019;4;N;Clara Lopes
507;19/01/2019;2;S;Cecília Oliveira
508;01/01/2019;2;N;Joaquim Sales
509;26/01/2019;5;N;Vicente Duarte
510;31/01/2019;5;S;Mirella Rocha
511;05/01/2019;2;S;Ana Fernandes
512;19/01/2019;2;N;Bruno Vieira
513;19/01/2019;2;S;Dr. Gabriel Moraes
514;30/01/2019;4;N;Bianca Costa
515;06/01/2019;3;S;Ana Carolina Duarte
516;29/01/2019;2;S;Pedro Lucas Fernandes
517;04/01/2019;3;S;Lucca Rezende
518;03/01/2019;4;S;Emanuella Teixeira
519;04/01/2019;2;N;Manuela das Neves
520;30/01/2019;1;N;Kevin da Cunha
521;09/01/2019;2;S;Joaquim Rodrigues
522;30/01/2019;5;S;Renan Ferreira
523;21/01/2019;5;N;Ana Laura Peixoto
524;15/01/2019;5;N;Maria Julia Barbosa
525;23/01/2019;1;N;Enzo Gabriel Moura
526;23/01/2019;6;N;Valentina Silva
527;26/01/2019;2;S;Júlia Moreira
528;11/01/2019;5;N;Davi da Mata
529;22/01/2019;5;N;Bruna Barbosa
530;24/01/2019;5;N;Erick Fernandes
531;31/01/2019;3;S;Otávio Teixeira
532;29/01/2019;3;S;Manuela Ramos
533;07/01/2019;1;N;Benício Cunha
534;30/01/2019;6;S;Maria Cecília Santos
535;27/01/2019;1;S;Vitor Hugo Nogueira
536;04/01/2019;3;N;Ana Sophia Vieira
537;17/01/2019;5;N;Isabelly Rodrigues
538;22/01/2019;6;S;Juan Silva
539;01/01/2019;4;S;Pedro Lucas Martins
540;01/01/2019;5;N;Nina Rodrigues
541;13/01/2019;6;S;Luiz Otávio da Mota
542;26/01/2019;4;N;Marcelo da Cunha
543;19/01/2019;2;S;Letícia Cunha
544;25/01/2019;2;N;Anthony da Rocha
545;05/01/2019;4;N;Marcos Vinicius Freitas
546;20/01/2019;1;S;Igor Martins
547;29/01/2019;5;N;Gustavo Henrique da Mata
548;27/01/2019;1;N;Ana Laura Moura
549;11/01/2019;4;S;Pietro Fernandes
550;28/01/2019;4;S;Dr. Pedro Lucas Oliveira
551;04/01/2019;1;N;Dra. Maria Clara Ribeiro
552;12/01/2019;6;N;Antônio Cunha
553;02/01/2019;3;N;Lara Almeida
554;08/01/2019;2;S;Dra. Natália da Cruz
555;25/01/2019;6;N;Joaquim Monteiro
556;26/01/2019;3;N;Dra. Emilly Barros
557;31/01/2019;4;N;Cauê Vieira
558;26/01/2019;3;S;Lara Farias
559;22/01/2019;1;S;Alana Barros
560;21/01/2019;1;N;Sophie Alves
561;02/01/2019;3;S;Matheus Rezende
562;16/01/2019;6;S;Samuel Gomes
563;06/01/2019;4;S;Ana Laura Nogueira
564;02/01/2019;3;S;Danilo Correia
565;11/01/2019;5;N;Theo Jesus
566;24/01/2019;4;S;Augusto da Paz
567;07/01/2019;1;N;Maria Clara Rocha
568;04/01/2019;2;S;Maitê Monteiro
569;12/01/2019;5;S;Kevin Mendes
570;29/01/2019;6;S;Augusto da Mata
571;20/01/2019;5;S;Emilly Cunha
572;28/01/2019;6;N;Lara Costela
573;09/01/2019;1;S;Bianca Silveira
574;29/01/2019;5;N;Breno Monteiro
575;03/01/2019;1;S;Camila da Conceição
576;12/01/2019;1;S;Caroline Caldeira
577;09/01/2019;1;S;Nathan Dias
578;04/01/2019;6;S;Levi Araújo
579;28/01/2019;6;N;Ana Carolina Gonçalves
580;03/01/2019;1;N;Laura Jesus
581;19/01/2019;3;N;Rafael da Paz
582;30/01/2019;1;S;Yuri Gomes
583;23/01/2019;5;S;Lorenzo Teixeira
584;27/01/2019;2;N;Mariane Jesus
585;19/01/2019;5;S;João Pedro Cardoso
586;12/01/2019;4;N;Mirella Sales
587;24/01/2019;1;S;Eduardo Santos
588;05/01/2019;3;N;Pietro Lima
589;10/01/2019;2;S;Valentina Almeida
590;07/01/2019;3;N;Samuel Dias
591;14/01/2019;1;S;Dr. Diogo Souza
592;13/01/2019;6;N;Daniel Caldeira
593;16/01/2019;2;S;Maria Sophia da Costa
594;10/01/2019;4;N;Samuel Costa
595;13/01/2019;1;S;Larissa Mendes
596;03/01/2019;1;N;Bárbara Farias
597;16/01/2019;3;N;Ana Sophia Lima
598;17/01/2019;4;S;Enzo Gabriel Carvalho
599;10/01/2019;2;N;Julia Gomes
600;30/01/2019;5;S;Anthony Dias
601;30/01/2019;4;N;Emanuella da Rosa
602;17/01/2019;2;S;Dra. Maria Cecília da Mata
603;19/01/2019;4;S;Alexia Barros
