MAT_ALU;NOME;DAT_ENTRADA;COD_CURSO;COTISTA
581;Rafael da Paz;19/01/19;3;N
582;Yuri Gomes;30/01/19;1;S
583;Lorenzo Teixeira;23/01/19;5;S
584;Mariane Jesus;27/01/19;2;N
585;João Pedro Cardoso;19/01/19;5;S
586;Mirella Sales;12/01/19;4;N
587;Eduardo Santos;24/01/19;1;S
588;Pietro Lima;05/01/19;3;N
589;Valentina Almeida;10/01/19;2;S
590;Samuel Dias;07/01/19;3;N
591;Dr. Diogo Souza;14/01/19;1;S
592;Daniel Caldeira;13/01/19;6;N
593;Maria Sophia da Costa;16/01/19;2;S
594;Samuel Costa;10/01/19;4;N
595;Larissa Mendes;13/01/19;1;S
596;Bárbara Farias;03/01/19;1;N
597;Ana Sophia Lima;16/01/19;3;N
598;Enzo Gabriel Carvalho;17/01/19;4;S
599;Julia Gomes;10/01/19;2;N
600;Anthony Dias;30/01/19;5;S
601;Emanuella da Rosa;30/01/19;4;N
602;Dra. Maria Cecília da Mata;17/01/19;2;S
603;Alexia Barros;19/01/19;4;S
604;Joana Nunes;29/01/19;5;N
605;Dr. Davi Luiz Souza;20/01/19;2;S
606;Luna Cardoso;18/01/19;6;S
607;Raquel Melo;30/01/19;1;S
608;Vitor da Costa;24/01/19;1;S
609;Enzo Oliveira;02/01/19;3;S
610;Agatha Gomes;09/01/19;1;S
611;Bryan Barbosa;01/01/19;4;N
612;Maria Fernanda Lopes;30/01/19;3;N
613;Maysa Alves;20/01/19;5;N
614;Clara Santos;10/01/19;2;N
615;Lavínia Moura;19/01/19;5;N
616;Pedro da Rosa;22/01/19;3;S
617;Dra. Sofia da Conceição;16/01/19;4;S
618;Calebe da Mata;03/01/19;3;N
619;Renan Aragão;17/01/19;6;N
620;Letícia Vieira;15/01/19;3;S
621;Sarah da Cruz;11/01/19;3;N
622;Maria Luiza da Mota;06/01/19;2;S
623;Noah Lima;09/01/19;1;S
624;Julia Sales;09/01/19;4;N
625;Caio Viana;15/01/19;3;N
626;Vinicius Sales;22/01/19;6;N
627;Cecília Rodrigues;24/01/19;5;N
628;Ana Laura Dias;04/01/19;4;N
629;Bryan da Paz;28/01/19;2;N
630;Daniel Araújo;24/01/19;6;N
631;Kaique Teixeira;11/01/19;6;S
632;Evelyn Rodrigues;11/01/19;4;N
633;Stella Santos;11/01/19;6;S
634;Melissa Pereira;14/01/19;1;S
635;Yasmin Lima;23/01/19;3;N
636;Bruna Cunha;06/01/19;4;N
637;Maria da Mata;17/01/19;2;N
638;Clara Porto;08/01/19;1;S
639;Raquel Nunes;24/01/19;1;S
640;Eloah Mendes;08/01/19;5;N
641;Alícia da Costa;31/01/19;2;N
642;Luiz Gustavo da Luz;30/01/19;2;N
643;Emanuel da Rocha;10/01/19;3;S
644;Elisa Caldeira;12/01/19;5;S
645;Luna Rocha;12/01/19;6;S
646;Pietro Porto;19/01/19;5;N
647;Luiz Gustavo Porto;02/01/19;6;S
648;Ana Carolina Costa;30/01/19;2;N
649;Lorenzo Alves;10/01/19;2;S
650;Maria Clara Souza;09/01/19;1;S
651;Maria Eduarda Cunha;13/01/19;1;N
652;Paulo Gonçalves;02/01/19;2;S
653;Laís Melo;16/01/19;5;N
654;Breno da Cunha;21/01/19;5;N
655;Ana Júlia Sales;20/01/19;6;N
656;Maria Alice Rocha;15/01/19;6;S
657;Dra. Milena Costa;02/01/19;2;N
658;Luiza Rodrigues;21/01/19;5;N
659;Ana Carolina Carvalho;28/01/19;1;N
660;Marina Freitas;14/01/19;1;N
661;Rodrigo Dias;07/01/19;4;S
662;Yago Oliveira;15/01/19;2;N
663;Theo Cavalcanti;24/01/19;4;N
664;Breno da Paz;18/01/19;2;N
665;Ryan Freitas;31/01/19;3;S
666;Dra. Brenda Almeida;14/01/19;2;N
667;Paulo Fogaça;01/01/19;3;S
668;Lucca Fernandes;12/01/19;6;N
669;Levi Mendes;07/01/19;2;N
670;Vitor Mendes;18/01/19;4;S
671;Enzo Barros;02/01/19;5;S
672;Matheus da Rosa;09/01/19;5;N
673;Joaquim Mendes;10/01/19;4;N
674;Maria Clara Silveira;30/01/19;2;N
675;Murilo Nogueira;29/01/19;1;S
676;Mariane da Mata;16/01/19;5;N
677;Beatriz Lima;06/01/19;5;N
678;Catarina Novaes;13/01/19;3;N
679;Isis Duarte;05/01/19;6;S
680;Lavínia Viana;15/01/19;4;S
681;Henrique Cunha;14/01/19;3;N
682;Lorenzo Vieira;23/01/19;2;S
683;Ana Vitória Duarte;06/01/19;1;N
684;Juliana Moreira;17/01/19;4;S
685;Otávio Pereira;24/01/19;3;S
686;Bryan Novaes;11/01/19;2;N
687;Lorenzo da Rocha;15/01/19;3;N
688;Matheus Azevedo;01/01/19;4;S
689;Maysa Alves;06/01/19;2;S
690;Isadora Fernandes;14/01/19;4;N
691;Enzo Gabriel Caldeira;15/01/19;5;S
692;Sophie Fogaça;09/01/19;4;S
693;Stella Cardoso;01/01/19;1;S
694;Isabelly da Cunha;21/01/19;5;S
695;Dr. Nicolas Gomes;15/01/19;5;N
696;Lucas Gabriel Ferreira;04/01/19;2;S
697;Laís Rezende;17/01/19;4;N
698;Ana Júlia Monteiro;25/01/19;2;S
699;Ryan das Neves;05/01/19;2;S
700;Luiz Otávio Nogueira;10/01/19;1;S
701;Cauê Azevedo;03/01/19;1;S
702;Luigi Alves;08/01/19;5;S
703;Dr. Danilo Porto;15/01/19;1;S
704;Kamilly Melo;18/01/19;3;N
705;Maria Cavalcanti;12/01/19;3;N
706;Dra. Emanuella Nascimento;08/01/19;3;S
707;Dra. Eduarda Nunes;07/01/19;3;N
708;Maria Lima;25/01/19;5;N
709;Dra. Marcela Azevedo;09/01/19;4;S
710;Matheus Costa;15/01/19;2;S
711;Gabriel Silva;25/01/19;2;N
712;Ana Luiza da Luz;22/01/19;3;S
713;Marcelo Farias;07/01/19;1;N
714;Vicente Ferreira;09/01/19;4;N
715;João Lucas Moraes;29/01/19;3;S
716;Diego Ribeiro;06/01/19;6;N
717;Vitor Cardoso;02/01/19;6;N
718;Fernanda Campos;14/01/19;2;N
719;Maitê Nunes;03/01/19;6;S
720;Maria Sophia Oliveira;29/01/19;2;S
761;Diego Moura;07/01/19;4;N
762;Pedro Henrique Duarte;09/01/19;4;N
763;Nicole Duarte;01/01/19;4;S
764;Cauã da Rosa;08/01/19;6;N
765;Benjamin das Neves;17/01/19;1;N
766;Kevin Castro;16/01/19;1;N
767;Davi Lucas Pires;31/01/19;2;N
768;Giovanna Rezende;06/01/19;4;N
769;Ana Lívia Gonçalves;12/01/19;4;S
770;Alana da Rocha;01/01/19;6;S
771;Lívia Viana;22/01/19;1;S
772;Guilherme Cardoso;09/01/19;6;N
773;Lorena Nunes;22/01/19;3;S
774;Vitor Gabriel da Costa;12/01/19;1;N
775;Dra. Sofia Correia;15/01/19;4;S
776;Fernanda Campos;14/01/19;3;N
777;Luiz Felipe Melo;11/01/19;6;S
778;Ana Lívia da Rosa;02/01/19;4;S
779;Helena Castro;31/01/19;6;S
780;Ana Laura Souza;02/01/19;3;N
781;Leandro da Cunha;10/01/19;2;N
782;Dr. Gabriel Jesus;18/01/19;6;N
783;Emanuel Gomes;21/01/19;5;S
784;Mariana Gonçalves;24/01/19;5;N
785;Gustavo Henrique Santos;10/01/19;1;N
786;Ana Julia Barros;11/01/19;3;N
787;Mariane Araújo;27/01/19;5;N
788;Vitor Almeida;02/01/19;6;S
789;Emanuel Pires;15/01/19;2;S
790;Ana Laura Costela;24/01/19;6;N
791;Marcela Gomes;07/01/19;6;S
792;Enzo Gabriel Cunha;07/01/19;3;S
793;Ana Julia Dias;30/01/19;4;S
794;Evelyn Barbosa;28/01/19;5;S
795;Lorenzo Barbosa;19/01/19;3;N
796;Pedro Henrique da Mota;16/01/19;4;N
797;Luiz Felipe Rodrigues;09/01/19;4;N
798;Lucas Gabriel Mendes;13/01/19;1;N
799;Nicolas Monteiro;30/01/19;2;S
800;Bernardo Carvalho;11/01/19;2;S
801;Rafael Silva;29/01/19;6;N
802;Maria Moreira;04/01/19;5;N
803;Heloísa da Costa;25/01/19;3;N
804;Nathan Silveira;04/01/19;5;N
805;Ana Luiza Viana;08/01/19;1;N
806;Julia Ribeiro;03/01/19;1;S
807;Pietra da Conceição;19/01/19;4;S
808;Nicolas da Rosa;12/01/19;5;N
809;Ana Júlia da Luz;03/01/19;5;S
810;Laís Barbosa;04/01/19;3;N
811;Carolina Peixoto;20/01/19;3;N
812;Camila Nogueira;12/01/19;2;S
813;Samuel da Luz;29/01/19;6;N
814;Ana Laura Souza;28/01/19;5;S
815;Brenda Ribeiro;14/01/19;6;N
816;Dra. Maria Alice da Mota;02/01/19;5;N
817;Juan Costela;30/01/19;6;N
818;Cauã Cardoso;24/01/19;2;S
819;Murilo Jesus;25/01/19;4;N
820;Luigi Silva;10/01/19;3;S
821;Davi Lucca Araújo;29/01/19;1;N
822;Noah da Paz;10/01/19;3;S
823;Arthur Gomes;07/01/19;6;N
824;Renan Ribeiro;10/01/19;4;N
825;Ryan Martins;05/01/19;1;N
826;Thiago Jesus;02/01/19;5;S
827;João Pedro Correia;23/01/19;2;N
828;Dra. Emilly Lima;31/01/19;2;N
829;Dra. Maria Julia Fernandes;17/01/19;3;S
830;Isaac da Mota;03/01/19;5;S
831;Natália Correia;30/01/19;2;N
832;Lorena Ramos;04/01/19;2;N
833;Dr. Heitor Fogaça;22/01/19;4;N
834;Isaac da Luz;27/01/19;6;N
835;Emanuel Ribeiro;23/01/19;1;N
836;Stella Lopes;04/01/19;6;N
837;Maria Clara Gomes;04/01/19;2;S
838;Marcela Costela;05/01/19;6;N
839;Raquel da Costa;25/01/19;6;S
840;Marcela Nogueira;08/01/19;2;N
841;Marcela Porto;03/01/19;2;S
842;Caroline Mendes;14/01/19;4;S
843;Bárbara Moraes;27/01/19;5;S
844;Larissa Campos;20/01/19;1;N
845;Marcelo Martins;18/01/19;1;N
846;Eduarda Aragão;06/01/19;4;S
847;Mariana Novaes;22/01/19;3;S
848;Ana Carolina Lopes;08/01/19;2;S
849;Kamilly Vieira;28/01/19;1;N
850;Maria Luiza Rezende;18/01/19;1;N
851;Eduarda Gonçalves;14/01/19;5;N
852;Maria Barbosa;05/01/19;4;S
853;João Miguel Fogaça;29/01/19;1;S
854;Maria Luiza Sales;31/01/19;2;S
855;Erick Sales;22/01/19;3;N
856;João Lucas Mendes;13/01/19;3;N
857;Helena Barbosa;15/01/19;4;S
858;Mirella Costela;30/01/19;5;S
859;Pedro Lucas Vieira;09/01/19;5;S
860;Ana Carolina Caldeira;17/01/19;5;N
861;Stella Santos;13/01/19;3;S
862;Valentina Fernandes;20/01/19;4;N
863;Bruno Teixeira;29/01/19;2;N
864;Felipe Cardoso;18/01/19;4;S
865;Daniel Castro;01/01/19;4;N
866;Evelyn Vieira;02/01/19;2;N
867;Kevin Martins;29/01/19;4;N
868;Mirella Viana;22/01/19;4;S
869;Bianca Almeida;13/01/19;3;N
870;Maysa Rodrigues;22/01/19;3;S
871;Diego Silva;09/01/19;3;S
872;Davi Lucca Pereira;04/01/19;5;N
873;Alice Caldeira;31/01/19;4;N
874;Enzo da Mota;10/01/19;6;N
875;Sophia da Paz;18/01/19;1;S
876;Bárbara Costa;09/01/19;3;S
877;Gabriela Rocha;22/01/19;4;N
878;Rafaela Mendes;15/01/19;1;N
879;Maria Duarte;07/01/19;5;N
880;Emanuelly Azevedo;05/01/19;5;S
881;Luna Oliveira;21/01/19;2;N
882;Dr. Alexandre Pereira;29/01/19;5;S
883;Maria Fernanda Fernandes;07/01/19;2;S
884;Ian Silveira;10/01/19;5;S
885;Maria Eduarda da Rosa;27/01/19;1;N
886;Dr. Kevin Pires;04/01/19;5;S
887;Theo Azevedo;14/01/19;4;S
888;Sabrina Campos;08/01/19;3;N
889;Leonardo Cunha;04/01/19;3;N
890;Maria Sophia Ramos;17/01/19;4;N
891;Amanda Carvalho;25/01/19;4;S
892;Bruna das Neves;09/01/19;4;N
893;Camila Mendes;29/01/19;2;N
894;Cauã Dias;20/01/19;5;N
895;Davi Luiz das Neves;21/01/19;3;N
896;Cecília Sales;04/01/19;2;S
897;Stephany da Conceição;10/01/19;5;N
898;Pedro Miguel Ferreira;03/01/19;1;N
899;Luiza Nascimento;25/01/19;1;S
900;Davi Fernandes;27/01/19;6;S
901;Stephany Nascimento;23/01/19;3;S
902;Pietra Gonçalves;05/01/19;2;S
903;Ana Alves;29/01/19;6;S
904;Dr. Pietro Porto;21/01/19;1;N
905;Yuri Gonçalves;26/01/19;4;N
906;João Pedro da Cruz;12/01/19;1;N
907;Ana Sophia da Cruz;05/01/19;3;S
908;Maria Alice Ramos;08/01/19;2;S
909;Isaac Souza;01/01/19;2;N
910;Ana Lívia da Cunha;28/01/19;3;N
911;Lucas Nunes;09/01/19;1;N
912;Kaique Teixeira;24/01/19;5;N
913;Noah Campos;20/01/19;5;N
914;Benjamin Gonçalves;22/01/19;5;N
915;Beatriz Campos;09/01/19;1;N
916;Miguel Duarte;26/01/19;4;N
917;Juliana Alves;13/01/19;4;N
918;Henrique Aragão;24/01/19;1;N
919;Stephany Pinto;06/01/19;4;S
920;Emilly Silveira;03/01/19;6;S
921;Caroline Fernandes;14/01/19;3;N
922;Marina Azevedo;05/01/19;2;S
923;Isabelly Lima;07/01/19;1;S
924;Brenda Peixoto;28/01/19;4;N
925;Maitê Porto;27/01/19;5;N
926;Isaac da Cunha;27/01/19;5;S
927;Sabrina Rodrigues;02/01/19;2;N
928;Lucas Gabriel Cardoso;11/01/19;4;S
929;Sarah Costa;30/01/19;1;N
930;Kaique Moraes;17/01/19;3;N
931;Emanuel Duarte;12/01/19;6;N
932;Ana Beatriz Vieira;28/01/19;3;S
933;Ana Luiza Moraes;02/01/19;6;S
934;Julia Martins;18/01/19;2;N
935;Rafael Pires;29/01/19;4;N
936;Maria Vitória Cardoso;19/01/19;6;N
937;Agatha Nogueira;27/01/19;1;N
938;Calebe da Costa;03/01/19;1;S
939;Letícia da Luz;19/01/19;2;S
940;Benício Dias;13/01/19;3;N
941;Lucas da Luz;11/01/19;2;N
942;Diogo Nogueira;25/01/19;6;N
943;Marcelo Castro;27/01/19;5;N
944;Dr. Lucas Gabriel Farias;26/01/19;2;N
945;Lorena Nascimento;03/01/19;2;S
946;Helena Cavalcanti;08/01/19;1;N
947;Natália Oliveira;23/01/19;3;N
948;Gustavo Viana;14/01/19;3;S
949;Juan Costela;17/01/19;6;S
2;Henrique Pires;26/01/19;2;S
3;Thomas Moura;15/01/19;4;S
4;Alexia Barros;14/01/19;3;N
5;Murilo Nogueira;25/01/19;2;S
6;Sabrina Almeida;31/01/19;6;N
7;Vicente da Rosa;19/01/19;3;N
8;Pedro Miguel da Costa;18/01/19;6;S
9;Bruna Nogueira;28/01/19;3;N
10;Anthony Pereira;10/01/19;5;N
11;Benjamin da Costa;27/01/19;2;S
12;João Guilherme da Cunha;15/01/19;1;S
13;Matheus Carvalho;17/01/19;6;S
14;Cauê da Mata;13/01/19;4;N
15;André da Conceição;26/01/19;1;N
16;Ana Laura Fernandes;19/01/19;5;N
17;Dra. Sophie Oliveira;22/01/19;1;S
18;Eduarda Lopes;28/01/19;5;N
19;Cauê Gonçalves;19/01/19;2;S
20;Gustavo Henrique Rodrigues;28/01/19;5;S
21;Benjamin Moraes;08/01/19;2;N
22;Ana Clara Gomes;12/01/19;3;S
23;Fernanda da Luz;06/01/19;5;N
24;Dr. Yuri Mendes;27/01/19;4;S
25;Isabelly Santos;31/01/19;2;S
26;Maria Luiza Caldeira;05/01/19;5;N
27;Maria Fernanda Porto;29/01/19;4;S
28;Davi Luiz Vieira;06/01/19;6;N
29;Ana Julia Mendes;13/01/19;4;S
30;Theo Pereira;17/01/19;3;N
31;Isis Farias;25/01/19;6;N
32;Vinicius das Neves;15/01/19;4;N
33;Ana Carolina da Cruz;24/01/19;5;N
34;Murilo Ramos;01/01/19;6;S
35;Marcelo Campos;08/01/19;4;N
36;Francisco Nunes;14/01/19;5;S
37;Marina Alves;31/01/19;6;N
38;Raul Sales;08/01/19;4;N
39;Ana Vitória Ferreira;14/01/19;6;N
40;Maria Vitória Santos;22/01/19;1;N
41;Gustavo Henrique Fogaça;03/01/19;4;S
42;Isabel da Costa;07/01/19;2;S
43;Pedro Miguel Souza;24/01/19;2;S
44;Marcela da Paz;03/01/19;1;N
45;Stephany Teixeira;19/01/19;4;S
46;Dr. Cauã Barbosa;10/01/19;5;S
47;Nicolas Melo;12/01/19;5;N
48;Pietro da Paz;30/01/19;2;N
49;Mirella Moura;24/01/19;1;N
50;Raul Silva;13/01/19;5;N
51;Benício Azevedo;08/01/19;3;N
52;Leonardo Cardoso;25/01/19;5;N
53;Arthur das Neves;09/01/19;3;N
54;Heitor Moraes;02/01/19;5;S
55;Cauê Pires;31/01/19;2;N
56;Sofia Costa;20/01/19;6;N
57;Dr. Marcelo Moraes;20/01/19;3;N
58;Lorena da Mata;23/01/19;5;S
59;Rodrigo Melo;11/01/19;5;S
60;Luiza Castro;23/01/19;6;S
61;Igor Barbosa;20/01/19;5;S
62;Davi Lucca Gonçalves;02/01/19;1;N
63;Eloah Correia;12/01/19;6;S
64;Lorena Mendes;07/01/19;1;S
65;Pietro Aragão;14/01/19;3;S
66;Yasmin Rocha;29/01/19;2;S
67;Henrique Azevedo;01/01/19;1;N
68;Dra. Milena Pinto;29/01/19;1;N
69;Ana Luiza Sales;19/01/19;1;S
70;Davi da Luz;30/01/19;2;N
71;Beatriz Barros;23/01/19;2;N
72;João Felipe da Rosa;14/01/19;2;S
73;Dr. Miguel Gonçalves;21/01/19;3;S
74;Clara Rocha;29/01/19;3;N
75;Maria Julia Duarte;28/01/19;3;S
76;Laura Monteiro;15/01/19;6;N
77;Yago Castro;20/01/19;6;N
78;Sabrina Nascimento;15/01/19;4;S
79;Gustavo Rocha;29/01/19;2;N
80;Murilo Lopes;15/01/19;1;S
81;Mariana Pinto;15/01/19;4;S
82;Marcela Caldeira;25/01/19;6;N
83;Heitor Araújo;30/01/19;1;S
84;Maria Julia Moreira;17/01/19;1;S
85;Thiago Moraes;12/01/19;3;S
86;Erick Gonçalves;19/01/19;2;S
87;Agatha Vieira;11/01/19;6;N
88;Dr. Otávio Rodrigues;12/01/19;5;S
89;Bryan Peixoto;23/01/19;3;S
90;Stephany Barbosa;11/01/19;6;S
91;Emanuelly Fernandes;30/01/19;2;S
92;João Vitor Monteiro;06/01/19;3;S
93;Elisa Nascimento;19/01/19;4;S
94;Dra. Maysa da Mota;23/01/19;1;N
95;Thomas Almeida;14/01/19;6;N
96;Luana Correia;24/01/19;1;N
97;Dr. Marcos Vinicius Fogaça;18/01/19;3;N
98;Caio Monteiro;14/01/19;4;N
99;Lívia Porto;04/01/19;2;S
100;Leonardo da Cruz;26/01/19;4;S
101;Luiz Felipe Rezende;22/01/19;3;S
102;Dr. Benjamin Costela;14/01/19;3;S
103;Arthur da Mata;24/01/19;3;N
104;Dra. Evelyn Carvalho;15/01/19;1;N
105;Lara Ferreira;16/01/19;1;N
106;Ana Beatriz da Paz;30/01/19;6;N
107;Maria Luiza Rocha;12/01/19;2;N
108;Dr. Arthur Ribeiro;11/01/19;5;N
109;Marcela Pereira;30/01/19;5;S
110;Isis Vieira;01/01/19;5;S
111;Noah Pinto;02/01/19;2;S
112;Luiz Henrique Caldeira;24/01/19;2;N
113;João Guilherme Azevedo;06/01/19;2;S
114;Evelyn Santos;27/01/19;1;N
115;João Pedro Castro;20/01/19;6;S
116;Nina Aragão;11/01/19;6;S
117;Eduardo Peixoto;10/01/19;2;N
118;Milena da Rosa;12/01/19;6;S
119;Leonardo Fogaça;21/01/19;3;S
120;Julia Pereira;21/01/19;4;S
121;Ana da Cunha;18/01/19;5;S
122;Maria Cecília Duarte;05/01/19;4;S
123;Luiza Jesus;14/01/19;5;N
124;Pedro Henrique Cavalcanti;08/01/19;2;N
125;Beatriz Moreira;09/01/19;5;N
126;Marcela Gomes;24/01/19;2;S
127;Melissa Pires;08/01/19;3;N
128;Carlos Eduardo Campos;08/01/19;5;N
129;Dra. Luiza da Rosa;05/01/19;3;N
130;Miguel Rocha;25/01/19;2;N
131;Marina Vieira;16/01/19;2;S
132;Sophia Moreira;05/01/19;2;S
133;Kaique Rocha;21/01/19;5;N
134;Kevin Castro;16/01/19;5;N
135;Thomas Jesus;01/01/19;3;N
136;Maria da Cunha;22/01/19;1;S
137;Lucas Nunes;08/01/19;1;S
138;João Guilherme Costela;26/01/19;6;S
139;Carlos Eduardo Viana;09/01/19;5;S
140;Ana Lívia da Conceição;04/01/19;4;S
141;Dra. Brenda Aragão;21/01/19;6;N
142;Levi Sales;14/01/19;4;S
143;João Guilherme Alves;11/01/19;4;S
144;Davi Luiz Costela;26/01/19;2;S
145;Isadora da Conceição;05/01/19;6;S
146;Ana Lívia Barbosa;15/01/19;4;N
147;Isadora Cavalcanti;12/01/19;5;N
148;Emilly Nascimento;29/01/19;2;S
149;Maria Fernanda Pereira;28/01/19;3;S
150;Yago da Mata;26/01/19;2;S
151;Joana da Mota;13/01/19;6;S
152;João Vitor Freitas;04/01/19;5;N
153;Isabelly Rezende;23/01/19;2;N
154;Carolina Monteiro;27/01/19;1;N
155;João Pedro Viana;20/01/19;1;S
156;Raul Moreira;28/01/19;4;N
157;Catarina Duarte;12/01/19;4;N
158;Evelyn das Neves;16/01/19;5;S
159;Natália Cardoso;23/01/19;2;N
160;Alícia Barros;15/01/19;4;S
161;Luiza Barbosa;05/01/19;6;S
162;Elisa Souza;12/01/19;2;N
163;Thales Cardoso;30/01/19;3;S
164;Bernardo Novaes;21/01/19;6;N
165;Nicolas Rocha;13/01/19;3;N
166;Ana Beatriz Peixoto;25/01/19;5;N
167;Beatriz da Cunha;04/01/19;5;S
168;Anthony da Rocha;01/01/19;1;N
169;João Gabriel Ribeiro;28/01/19;4;N
170;Thiago Gonçalves;25/01/19;4;S
171;Alexia Novaes;23/01/19;2;S
172;Enrico Nogueira;02/01/19;2;S
173;Lara Pires;07/01/19;4;N
174;Camila Ramos;19/01/19;6;N
175;Isabel Costela;30/01/19;3;S
176;Ryan Aragão;14/01/19;3;S
177;Antônio Jesus;15/01/19;6;S
178;Heitor da Conceição;24/01/19;6;N
179;Julia Farias;11/01/19;1;S
180;Rodrigo Souza;02/01/19;4;N
181;Lívia Lopes;22/01/19;4;N
182;Paulo Moura;20/01/19;6;N
183;Maria Julia Carvalho;12/01/19;4;S
184;Ana Beatriz Silva;22/01/19;6;N
185;Heitor da Rocha;08/01/19;4;N
186;Luiz Miguel Silveira;25/01/19;6;N
187;Julia Fernandes;27/01/19;5;N
188;Igor Correia;07/01/19;1;S
189;Davi Carvalho;09/01/19;6;N
1;Murilo Araújo;16/01/19;5;S
190;Pietra Cunha;20/01/19;2;S
191;Isabella Barros;15/01/19;2;N
192;Enzo Novaes;22/01/19;2;N
193;Dr. Vicente Nascimento;17/01/19;1;S
194;Clarice Monteiro;25/01/19;6;N
195;Mariane Sales;05/01/19;1;N
196;Raquel Souza;27/01/19;2;N
197;Daniela Peixoto;25/01/19;6;N
198;Enzo da Cruz;22/01/19;2;N
199;Isaac Rezende;28/01/19;1;N
200;Benício Rodrigues;31/01/19;4;S
201;Miguel Araújo;23/01/19;6;S
202;Luana das Neves;16/01/19;3;S
203;Bárbara Duarte;02/01/19;6;S
204;Lucca da Cunha;09/01/19;2;S
205;Ana Carolina Costa;01/01/19;5;S
206;Laura Rocha;27/01/19;3;S
207;Caio Azevedo;25/01/19;6;S
208;Bruno Moura;21/01/19;5;N
209;Emilly da Paz;14/01/19;3;S
210;Gustavo Oliveira;25/01/19;6;N
211;Esther Cardoso;22/01/19;3;S
212;Pedro Henrique Moreira;04/01/19;5;N
213;Elisa da Rocha;02/01/19;2;S
214;Maria Alice Pereira;11/01/19;5;N
215;Vitória Cardoso;31/01/19;5;N
216;Juliana Novaes;18/01/19;3;S
217;Pedro Novaes;09/01/19;4;N
218;Davi Luiz Dias;19/01/19;2;S
219;Yago Gonçalves;20/01/19;6;N
220;Sarah Carvalho;02/01/19;1;S
221;Ana Sophia Duarte;31/01/19;5;N
222;Calebe Ribeiro;20/01/19;5;N
223;Valentina da Rocha;17/01/19;6;S
224;Henrique da Paz;29/01/19;2;N
225;Carolina Farias;24/01/19;4;S
226;Ian Silveira;14/01/19;4;N
227;Raul Lopes;22/01/19;4;S
228;Maria Luiza Correia;24/01/19;6;S
229;Enzo Silveira;01/01/19;5;S
230;Isis Aragão;05/01/19;3;S
231;João Miguel Azevedo;05/01/19;3;S
232;Dr. Bryan Rodrigues;06/01/19;5;N
233;Joaquim Lima;29/01/19;6;S
234;Nathan da Rocha;07/01/19;6;S
235;Igor Mendes;02/01/19;6;S
236;Dr. Pedro Miguel Jesus;15/01/19;2;S
237;Laís Rodrigues;09/01/19;1;S
238;Melissa Vieira;28/01/19;1;S
239;Erick Jesus;07/01/19;3;N
240;Miguel Oliveira;08/01/19;2;S
241;Sabrina Lima;12/01/19;2;N
242;Thomas Silva;28/01/19;4;N
243;Thales Duarte;25/01/19;1;N
244;Samuel Vieira;01/01/19;4;S
245;Luiz Fernando Rodrigues;30/01/19;4;N
246;Mirella Freitas;29/01/19;5;N
247;Heitor Pires;03/01/19;6;N
248;Ryan Farias;21/01/19;4;S
249;Daniela da Mota;22/01/19;6;N
250;Alexia da Paz;15/01/19;3;N
251;Henrique Barros;15/01/19;3;N
252;Danilo Moreira;21/01/19;2;S
